Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
L12,MMZ2012Y152B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.1,-103.85,0,top
L13,MMZ2012Y152B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,207.1,-107.55,0,top
L14,MMZ2012Y152B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.1,-113.35,0,top
L15,MMZ2012Y152B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,207.1,-117.55,0,top
L16,MMZ2012Y152B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.1,-123.35,0,top
Q1,"PMBT3946VPN,115",SOT-363_SC-70-6,208.2,-51.1,0,top
Q2,"PMBT3946VPN,115",SOT-363_SC-70-6,208.3,-60.65,0,top
Q3,"PMBT3946VPN,115",SOT-363_SC-70-6,208.4,-70.5,0,top
Q4,"PMBT3946VPN,115",SOT-363_SC-70-6,208.4,-80.6,0,top
Q5,"PMBT3946VPN,115",SOT-363_SC-70-6,208.375,-91.1,0,top
Q6,"PMBT3946VPN,115",SOT-363_SC-70-6,208.4,-101.4,0,top
Q7,"PMBT3946VPN,115",SOT-363_SC-70-6,208.4,-110.9,0,top
Q8,"PMBT3946VPN,115",SOT-363_SC-70-6,208.4,-120.9,0,top
R1,2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.8,-51.8,90,top
R2,2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,152.8,-119.6,270,top
R3,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.2,-53.45,0,top
R4,10 0.1%,R_0805_2012Metric,212.5,-51.9,90,top
R5,1k 0.1%,R_0805_2012Metric,216.5,-51.9,90,top
R6,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.3,-63,0,top
R7,10 0.1%,R_0805_2012Metric,212.6,-61.45,90,top
R8,1k 0.1%,R_0805_2012Metric,216.6,-61.45,90,top
R9,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.4,-72.85,0,top
R10,10 0.1%,R_0805_2012Metric,212.7,-71.3,90,top
R11,1k 0.1%,R_0805_2012Metric,216.7,-71.3,90,top
R12,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.2,-53.3,0,top
R13,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166,-53.3,0,top
R14,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,143.8,-98.8,90,top
R15,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.3,-101.3,180,top
R16,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.4,-82.95,0,top
R17,10 0.1%,R_0805_2012Metric,212.7,-81.4,90,top
R18,1k 0.1%,R_0805_2012Metric,216.7,-81.4,90,top
R19,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.375,-93.45,0,top
R20,10 0.1%,R_0805_2012Metric,212.675,-91.9,90,top
R21,1k 0.1%,R_0805_2012Metric,216.675,-91.9,90,top
R22,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.4,-103.75,0,top
R23,10 0.1%,R_0805_2012Metric,212.7,-102.2,90,top
R24,1k 0.1%,R_0805_2012Metric,216.7,-102.2,90,top
R25,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.4,-113.25,0,top
R26,10 0.1%,R_0805_2012Metric,212.7,-111.7,90,top
R27,1k 0.1%,R_0805_2012Metric,216.7,-111.7,90,top
R28,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.4,-123.25,0,top
R29,10 0.1%,R_0805_2012Metric,212.7,-121.7,90,top
R30,1k 0.1%,R_0805_2012Metric,216.7,-121.7,90,top
R31,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,151.6,-69.1,180,top
